Name
S. Rochet
V. Salazar
R. Zapata
A. Correa
M. Barbieri
B. Deroz
W. Larrondo
Flávio Rebeilo
J. Mendoza
R. Bentancur
J. López
C. Quintero
R. Depetris
R. Loaiza
C. Rigamonti
F. Grondoña
E. Cortés
C. Cuevas
B. Laguna
R. Zagareda
M. Arambarri
A. Villanava
Y. Murillo
L. Isleras
Felipe Macedo
J. Aguirre
Wallace Oliveira
A. Simprende
J. Reina
F. Vargas
N. Milesi
Éder
E. Reynoso
M. Cassierra
D. Monsalve
J. De la Cuesta
F. Espíndola
J. Cavallaro
N. Zárate
Y. Osorio
César
J. Pérez
C. González
F. Sbuttoni
Caio Padricio
O. Benítez
Lucão
Gutti
Nathan Júnior
Ibson
C. Lizarazo
Mateus
Z. Leivo
M. Gelabert
Magno
B. Riveros
Vágner Norteiro
S. Higuerrez
I. Rossi
A. Canelo
P. Lugüercio
M. Benítez
E. Cecchini
R. Feltscher
L. Civelli
Jadson
M. Murillo
G. Campi
Márcio Velinha
J. Aja
G. Arias
C. Lampe
A. Vargas
F. Signorelli
I. Risendo
E. Ibargüen
Iago
D. Herner
Jorgino Baumer
J. Carvallo
J. Arce
Fredinho Mutto
J. Quintero
A. Franco
F. Burbano
Wanderson
Felipe Saad
D. Delgado
Y. Cabral
Adrián Maideira
R. Alberg
J. Cano
Y. Moreno
Fred Soidares
L. Narváez
Jonaldo Santoso
E. Riberos
Y. Anchico
Inácio
Anselmo Meirás
Leandrinho
M. Luque
Claudiosa Paes
Y. Soteldo
Nosberto Vila
C. González
J. Moya
F. Silva
C. Corvalán
F. Nájera
Hedson Porfírio
Lucas Medeirão
M. Olivera
A. Bernal
A. Villete
J. Pajoy
F. Avenatti
Dener Rolim
M. Sánchez
Rafael Costa
V. Castillo
Welson Leima
L. Murillo
T. Andrade
B. Figueraz
I. Lores Varela
F. Córdoba
J. Ortiz
Jadson Castrelo
F. Brandán
Adão Salvadaldo
Fábinho
Mosquito
E. Castañeda
Y. Hinestroza
A. Tello
Fabrício
J. Cardona
Bruno Gomes
C. Ayala
S. Altamiras
Guilherme Sityá
H. Rojas
M. Arrufe
Franci Martinho
J. Quiñones
Galeno
E. Revolledo
Rafinha
C. Chimino
E. Farias
J. Garro
Anderson Conceição
H. Urrego
C. Matheu
L. Heredia
Thiago Cardoso
J. Aguirre
Matheus Índio
B. Urribarri
R. Aponzá
